21b5628528,	,Robin Ward,	,Tue Feb 5 14:16:51 2013,	,Initial release of Discourse,	,Initial-release-of-Discourse
3d982db2a2,	,Nick Quaranto,	,Tue Feb 5 15:21:44 2013,	,Use https://rubygems.org instead of http,	,Use-https-rubygems.org-instead-of-http
87ff4373f5,	,Jeremy Mack,	,Tue Feb 5 15:59:17 2013,	,Removed unnecessary @.'s,	,Removed-unnecessary-.-s
1a7e2f14d4,	,Robin Ward,	,Tue Feb 5 18:08:39 2013,	,Clarify that the instructions will download and provision the VM.,	,Clarify-that-the-instructions-will-download-and-provision-the-VM
3fd019c6bd,	,Sam Saffron,	,Tue Feb 5 19:47:08 2013,	,fix firefox focus bug on flagging dialog,	,fix-firefox-focus-bug-on-flagging-dialog
a5cabb7422,	,Shawn Holmes,	,Tue Feb 5 20:03:10 2013,	,Update README.md,	,Update-README.md
e1c92258be,	,Shawn Holmes,	,Tue Feb 5 20:03:38 2013,	,Update README.md,	,Update-README.md
694e8994cc,	,Shawn Holmes,	,Tue Feb 5 20:07:27 2013,	,Update CONTRIBUTING.md,	,Update-CONTRIBUTING.md
ffcf547734,	,Shawn Holmes,	,Tue Feb 5 20:12:03 2013,	,Update DEVELOPMENT.md,	,Update-DEVELOPMENT.md
6f2f7b0589,	,Sam Saffron,	,Tue Feb 5 20:13:41 2013,	,flagging work, we should be clearing from the mod menu if a topic or post is deleted,	,flagging-work-we-should-be-clearing-from-the-mod-menu-if-a-topic-or-post-is-deleted
135a23297a,	,Sam Saffron,	,Tue Feb 5 20:14:06 2013,	,Merge branch 'master' of github.com:discourse/discourse,	,Merge-branch-master-of-github.com-discourse-discourse
d823575973,	,Shawn Holmes,	,Tue Feb 5 20:55:18 2013,	,Update README.md,	,Update-README.md
d237e3bf3b,	,Sam,	,Tue Feb 5 21:10:08 2013,	,Merge pull request #3 from qrush/use-https-rubygems,	,Merge-pull-request-3-from-qrush-use-https-rubygems
66022f9faa,	,Andy,	,Tue Feb 5 21:44:49 2013,	,Updated email hash to Gravatar specifications,	,Updated-email-hash-to-Gravatar-specifications
d598851a88,	,Gregory Brown,	,Tue Feb 5 23:39:25 2013,	,Update AUTHORS.md,	,Update-AUTHORS.md
d92a0e9b54,	,Sam,	,Tue Feb 5 23:51:46 2013,	,Merge pull request #21 from 5thWall/gravatar_hash,	,Merge-pull-request-21-from-5thWall-gravatar_hash
0f88947279,	,Sam Saffron,	,Wed Feb 6 00:22:11 2013,	,fix onebox for your own site,	,fix-onebox-for-your-own-site
31c5859bbe,	,Sam Saffron,	,Wed Feb 6 00:28:38 2013,	,Merge branch 'master' of github.com:discourse/discourse,	,Merge-branch-master-of-github.com-discourse-discourse
32ff6c264a,	,Chris Schetter,	,Tue Feb 5 16:23:06 2013,	,Working out outdated migrations,	,Working-out-outdated-migrations
ccfe874a7b,	,Sam,	,Wed Feb 6 00:46:03 2013,	,Merge pull request #11 from keekerdc/fixing-outdated-migrations,	,Merge-pull-request-11-from-keekerdc-fixing-outdated-migrations
d4bc423320,	,Sam Saffron,	,Wed Feb 6 01:22:11 2013,	,hook up sanitizer,	,hook-up-sanitizer
2e3bcec5c7,	,Sam Saffron,	,Wed Feb 6 01:24:49 2013,	,also for about me,	,also-for-about-me
554a3f23d5,	,Sam Saffron,	,Wed Feb 6 01:25:06 2013,	,Merge branch 'master' of github.com:discourse/discourse,	,Merge-branch-master-of-github.com-discourse-discourse
a7f35df9f6,	,Sam Saffron,	,Wed Feb 6 01:26:12 2013,	,structure.sql should match mine,	,structure.sql-should-match-mine
28c25940d2,	,Mike Linksvayer,	,Wed Feb 6 01:48:55 2013,	,Update app/views/static/faq.html.erb,	,Update-app-views-static-faq.html.erb
27e1a81b34,	,Jeff Atwood,	,Wed Feb 6 03:32:46 2013,	,increase default max_likes_per_day to 30,	,increase-default-max_likes_per_day-to-30
24584ae916,	,Sebastian Sogamoso,	,Wed Feb 6 08:32:41 2013,	,Remove empty helpers,	,Remove-empty-helpers
f4decfcddd,	,Michael Haren,	,Wed Feb 6 09:36:57 2013,	,someone accidentally a word,	,someone-accidentally-a-word
